sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
-1.926937949778787015e+03,-8.857591082657891093e+02,-1.001807438480478140e+03,-6.506042744126170874e+02
1.313621557006224066e+03,-8.568058408010983840e+00,9.757704238139515382e+02,9.280374514109280426e+02
2.119877228236119606e+02,-2.394812309660483152e+01,8.283481628739941698e+02,-1.367523989273468032e+01
1.408894904502462623e+03,1.347583081274773576e+03,7.362733354204902980e+02,1.530225379202689510e+03
-3.457809309397649855e+01,-1.091550982629298232e+03,-1.024257268496076676e+03,-9.588478043177456129e+02
-1.003564896701800762e+03,1.167851246700578486e+03,2.257837281982589047e+03,1.671524339612136828e+03
-5.906113588922036115e+02,-1.307043719196735765e+03,-3.063247981859771016e+02,-7.933914863137470093e+02
-5.608834575509605429e+02,-1.916819930937039317e+03,-1.408086012515938592e+03,-1.497549688256462105e+03
-6.002681722273862306e+02,-1.309568461152783129e+03,-6.358812286128343203e+02,1.658056318195420317e+03
-1.263764931023580857e+03,-1.138152651816461002e+03,4.601839449963941888e+02,-6.406069162008934654e+02
-5.517351538671324533e+02,3.373836150715069380e+02,-1.080855869502659743e+03,-1.141059182243392570e+03
-1.338884549939509952e+03,-1.363001433600205928e+03,-4.218106800361623527e+02,-7.059498470884573180e+02
-1.696577370989436076e+03,-7.915478089863172499e+02,-8.120832991542395121e+02,-1.089816608004883165e+03
-2.059101051944726350e+03,-1.170769908589820261e+03,-3.908878275420063346e+02,-1.202246140269562602e+01
-1.231386215282282137e+03,-1.059365846124099335e+03,-1.809174189063009806e+02,1.462501363201969070e+03
-1.173447958353525337e+03,-1.682184404567291494e+03,6.540966504299360622e+02,2.327714178133173846e+02
-3.098784044503418613e+02,1.674465671822545119e+02,6.835173499747516246e+01,-2.258510656105063390e+02
-1.062212443487837618e+03,-2.375672966094265576e+03,-1.399113744207445734e+03,-8.496596097722649574e+02
-1.634899431734278323e+03,-6.021174451539700385e+02,-9.223131231923455289e+02,8.716742584051389713e+02
-6.084356145902359003e+02,-2.257902681647101417e+01,8.608959532054922192e+02,-1.626726188769418513e+03
-4.462024250246354882e+02,-7.102197630875161849e+01,1.667185912185989025e+02,3.584919936109217815e+02
-2.230349541317744752e+03,2.023420290459762327e+01,3.810030306635610486e+02,-2.242322719148214674e+03
-5.680558353297868734e+02,-6.056116300844150828e+02,-7.926064830291379621e+02,-8.979621230898483191e+02
-6.202477089358950479e+02,-1.695539413377526216e+03,-2.006114314157767694e+03,-6.080799246104143094e+02
3.437874960649854756e+02,-9.947510225111618638e+02,-5.750021486633839913e+02,-1.145247989564173622e+03
-6.787982020284719056e+02,-2.272945157434733119e+02,-5.853597212321070629e+02,4.514868743602710310e+02
2.678325797615100782e+03,1.606763983514392748e+03,1.592568213317985965e+03,1.159894318312261021e+03
-8.233823455101717173e+02,1.076212158289723448e+03,1.995400963480324890e+03,-2.640654801584314555e+02
-4.476114924164078275e+02,-1.412905043000879232e+03,-1.207837823639143608e+03,2.823489868711621966e+02
-8.516322351289197741e+02,3.961553897713019978e+01,8.883192629361275294e+02,1.205401242900756188e+03
-3.692424782704081281e+02,-1.605615064389086911e+03,-1.209238966475914822e+03,-1.038921818525734125e+03
9.534436576296428711e+02,5.732892967971711187e+02,-4.732675537794478515e+01,1.776306963607494254e+02
3.242661406344487887e+02,-8.567379158514813753e+02,-1.384089823251910047e+03,-1.087246812198369298e+03
-1.359334903101152122e+03,-2.336777771823850344e+03,-1.495455044278805417e+03,-2.330960631957248552e+03
-1.612716800782209020e+03,-1.174845313819256262e+03,-9.056199150405565206e+02,2.686756467405357398e+02
-1.069747074274887609e+03,-1.657899897666182369e+03,1.085761440797673458e+03,1.518514412211807212e+03
5.756639609972611282e+01,-7.070982246369967470e+02,-9.552602069594667000e+02,-1.363274681182607310e+03
-1.014679975453768748e+03,6.361468726482416969e+01,-1.272031191819742389e+03,6.058442160243284889e+02
-1.751256270093501598e+03,-3.285321855762056657e+03,-2.938821105258917669e+03,-1.825015226861694828e+03
3.345293216670258971e+02,-2.452010057196021080e+02,-3.247492716388762233e+02,1.474410281378892250e+03
3.232944270311259629e+02,-4.131557241921836976e+01,8.480667008763043668e+02,4.002969250819005538e+02
-9.844701626804197758e+02,-2.432080757705072756e+03,-2.692477346020662026e+03,-1.959318344880011864e+03
