t,u_nominal control,u_SAA control
5.401311000000000462e+01,8.322324116524878690e+00,1.087764178255778802e+01
5.404369499999999960e+01,8.336383761525928193e+00,1.090127759303008048e+01
5.407428000000000168e+01,8.350483183359799000e+00,1.092496969814331287e+01
5.410486500000000376e+01,8.364641367616934886e+00,1.094907678536480411e+01
5.413544999999999874e+01,8.378813502867595631e+00,1.097338032123876594e+01
5.416603500000000082e+01,8.393040479529330966e+00,1.099767037965471772e+01
5.419662000000000290e+01,8.407273636422415208e+00,1.102216641220268301e+01
5.422720500000000499e+01,8.421565235162958629e+00,1.104678753882892117e+01
5.425778999999999996e+01,8.435852787257449137e+00,1.107105687585389653e+01
5.428837500000000205e+01,8.450175301570491015e+00,1.109505613754839537e+01
5.431896000000000413e+01,8.464492775666380808e+00,1.111871112858825228e+01
5.434954499999999911e+01,8.478811657000971280e+00,1.114224618488088403e+01
5.438013000000000119e+01,8.493151518619002971e+00,1.116545649116579675e+01
5.441071500000000327e+01,8.507498060962204178e+00,1.118895472371699640e+01
5.444130000000000535e+01,8.521852825053342073e+00,1.121279710339606517e+01
