t,u_nominal solution,u_SAA solution
3.449999999999999734e+00,4.110496954634725864e-01,4.085795006575335675e-01
3.457500000000000018e+00,4.119756169998874396e-01,4.095048438284404901e-01
3.464999999999999858e+00,4.129035949301937958e-01,4.104322703510251413e-01
3.472499999999999698e+00,4.138336330268873042e-01,4.113617841834422140e-01
3.479999999999999982e+00,4.147657350877667626e-01,4.122933893645601700e-01
3.487499999999999822e+00,4.156999049393599877e-01,4.132270900157954396e-01
3.494999999999999662e+00,4.166361464402799086e-01,4.141628903429165898e-01
3.502499999999999947e+00,4.175744634845551806e-01,4.151007946377936464e-01
3.509999999999999787e+00,4.185148600048821388e-01,4.160408072801444757e-01
3.517500000000000071e+00,4.194573399758123045e-01,4.169829327392245988e-01
3.524999999999999911e+00,4.204019074168708348e-01,4.179271755754787598e-01
3.532499999999999751e+00,4.213485663955551797e-01,4.188735404421636277e-01
3.540000000000000036e+00,4.222973210302399805e-01,4.198220320868951139e-01
3.547499999999999876e+00,4.232481754929786066e-01,4.207726553531875857e-01
3.554999999999999716e+00,4.242011340121687457e-01,4.217254151819113672e-01
3.562500000000000000e+00,4.251562008750997546e-01,4.226803166126905653e-01
3.569999999999999840e+00,4.261133804303627315e-01,4.236373647852548774e-01
3.577499999999999680e+00,4.270726770901089875e-01,4.245965649407117404e-01
3.584999999999999964e+00,4.280340953321616349e-01,4.255579224227676316e-01
3.592499999999999805e+00,4.289976397019659160e-01,4.265214426788759838e-01
3.599999999999999645e+00,4.299633148143771622e-01,4.274871312612830709e-01
3.607499999999999929e+00,4.309311253552863819e-01,4.284549938280128867e-01
3.614999999999999769e+00,4.319010760830708784e-01,4.294250361437622066e-01
3.622500000000000053e+00,4.328731718298675091e-01,4.303972640807068872e-01
3.629999999999999893e+00,4.338474175026729163e-01,4.313716836192035831e-01
3.637499999999999734e+00,4.348238180842622924e-01,4.323483008484055867e-01
3.645000000000000018e+00,4.358023786339176864e-01,4.333271219667508278e-01
3.652499999999999858e+00,4.367831042879918302e-01,4.343081532823905855e-01
